State,Abbreviation,Region
Acre,AC,North
Alagoas,AL,Northeast
Amapá,AP,North
Amazonas,AM,North
Bahia,BA,Northeast
Ceará,CE,Northeast
Distrito Federal,DF,Central-West
Espírito Santo,ES,Southeast
Goiás,GO,Central-West
Maranhão,MA,Northeast
Mato Grosso,MT,Central-West
Mato Grosso do Sul,MS,Central-West
Minas Gerais,MG,Southeast
Pará,PA,North
Paraíba,PB,Northeast
Paraná,PR,South
Pernambuco,PE,Northeast
Piauí,PI,Northeast
Rio de Janeiro,RJ,Southeast
Rio Grande do Norte,RN,Northeast
Rio Grande do Sul,RS,South
Rondônia,RO,North
Roraima,RR,North
Santa Catarina,SC,South
São Paulo,SP,Southeast
Sergipe,SE,Northeast
Tocantins,TO,North
